date,ward_name,NDVI,prcp,lst,msdi,GCI,GCI_class
2019-01-01,Bula Pesa,0.1409,21.3,36.51,0.0738,26.02,Poor
2019-02-01,Bula Pesa,0.2427,32.63,34.49,0.065,38.62,Poor
2019-03-01,Bula Pesa,0.3313,63.57,33.94,0.0381,56.4,Moderate
2019-04-01,Bula Pesa,0.4267,95.18,32.93,0.0499,66.52,Good
2019-05-01,Bula Pesa,0.4056,65.52,30.14,0.0468,63.02,Good
2019-06-01,Bula Pesa,0.3375,24.41,29.96,0.0383,53.44,Moderate
2019-07-01,Bula Pesa,0.3039,30.37,30.36,0.0471,49.79,Moderate
2019-08-01,Bula Pesa,0.2667,13.3,30.56,0.0546,42.52,Moderate
2019-09-01,Bula Pesa,0.2948,29.07,30.68,0.0557,46.77,Moderate
2019-10-01,Bula Pesa,0.3249,65.99,32.44,0.0538,54.05,Moderate
2019-11-01,Bula Pesa,0.4519,112.33,30.37,0.039,75.6,Good
2019-12-01,Bula Pesa,0.4631,89.98,32.85,0.0379,70.94,Good
2020-01-01,Bula Pesa,0.3611,15.08,33.87,0.0426,49.46,Moderate
2020-02-01,Bula Pesa,0.3196,22.16,36.29,0.0601,41.9,Moderate
2020-03-01,Bula Pesa,0.3101,49.91,33.87,0.0624,47.28,Moderate
2020-04-01,Bula Pesa,0.3499,61.64,31.13,0.0439,58.32,Moderate
2020-05-01,Bula Pesa,0.3705,51.14,30.0,0.0493,57.74,Moderate
2020-06-01,Bula Pesa,0.2952,23.74,31.13,0.0695,42.5,Moderate
2020-07-01,Bula Pesa,0.2756,18.38,29.69,0.0589,43.74,Moderate
2020-08-01,Bula Pesa,0.2342,9.03,31.23,0.0743,34.63,Poor
2020-09-01,Bula Pesa,0.2368,16.76,31.28,0.0632,38.51,Poor
2020-10-01,Bula Pesa,0.2199,11.81,36.41,0.0499,35.36,Poor
2020-11-01,Bula Pesa,0.3057,56.78,31.51,0.0357,55.94,Moderate
2020-12-01,Bula Pesa,0.3279,47.13,33.36,0.0468,51.93,Moderate
2021-01-01,Bula Pesa,0.2697,7.95,35.38,0.0423,40.73,Moderate
2021-02-01,Bula Pesa,0.2299,11.31,39.02,0.0617,31.26,Poor
2021-03-01,Bula Pesa,0.2387,16.34,35.86,0.0591,35.82,Poor
2021-04-01,Bula Pesa,0.271,42.57,33.04,0.061,44.29,Moderate
2021-05-01,Bula Pesa,0.2571,25.95,33.93,0.0536,41.5,Moderate
2021-06-01,Bula Pesa,0.2413,8.47,32.1,0.0584,37.87,Poor
2021-07-01,Bula Pesa,0.2587,7.68,30.88,0.0538,40.96,Moderate
2021-08-01,Bula Pesa,0.2132,2.72,32.73,0.0631,33.4,Poor
2021-09-01,Bula Pesa,0.2268,15.45,33.42,0.0653,35.43,Poor
2021-10-01,Bula Pesa,0.2569,33.35,34.04,0.0518,43.01,Moderate
2021-11-01,Bula Pesa,0.2911,37.65,32.55,0.0461,48.6,Moderate
2021-12-01,Bula Pesa,0.319,42.79,35.43,0.0567,46.74,Moderate
2022-01-01,Bula Pesa,0.2895,12.12,35.74,0.0624,38.05,Poor
2022-02-01,Bula Pesa,0.2484,4.68,35.71,0.0555,35.49,Poor
2022-03-01,Bula Pesa,0.2337,23.95,35.8,0.0676,34.92,Poor
2022-04-01,Bula Pesa,0.2853,42.45,34.07,0.0518,46.51,Moderate
2022-05-01,Bula Pesa,0.2914,28.92,30.83,0.0517,47.29,Moderate
2022-06-01,Bula Pesa,0.2554,14.11,32.42,0.0606,39.05,Poor
2022-07-01,Bula Pesa,0.2384,15.25,32.48,0.0733,35.19,Poor
2022-08-01,Bula Pesa,0.2429,10.52,31.8,0.0595,38.33,Poor
2022-09-01,Bula Pesa,0.2156,3.31,31.88,0.0566,35.78,Poor
2022-10-01,Bula Pesa,0.2484,32.17,35.66,0.0653,37.92,Poor
2022-11-01,Bula Pesa,0.3053,61.27,33.66,0.0496,51.85,Moderate
2022-12-01,Bula Pesa,0.301,33.42,34.3,0.0557,45.04,Moderate
2023-01-01,Bula Pesa,0.2746,4.65,33.84,0.0554,38.84,Poor
2023-02-01,Bula Pesa,0.2278,2.2,36.68,0.0599,31.87,Poor
2023-03-01,Bula Pesa,0.2038,7.64,35.6,0.0574,32.53,Poor
2023-04-01,Bula Pesa,0.4167,117.95,31.43,0.05,70.79,Good
2023-05-01,Bula Pesa,0.416,83.69,31.69,0.0372,67.67,Good
2023-06-01,Bula Pesa,0.3651,33.34,30.71,0.0421,55.41,Moderate
2023-07-01,Bula Pesa,0.2766,9.46,31.09,0.0521,42.71,Moderate
2023-08-01,Bula Pesa,0.2492,10.52,29.72,0.0627,39.71,Poor
2023-09-01,Bula Pesa,0.221,4.8,31.93,0.0556,36.59,Poor
2023-10-01,Bula Pesa,0.4571,142.32,31.42,0.0403,79.85,Good
2023-11-01,Bula Pesa,0.5627,203.72,29.65,0.0236,89.26,Very good
2023-12-01,Bula Pesa,0.58,166.61,31.36,0.0108,90.74,Very good
2024-01-01,Bula Pesa,0.3807,4.15,33.42,0.0385,50.28,Moderate
2024-02-01,Bula Pesa,0.3244,20.23,35.02,0.0496,45.26,Moderate
2024-03-01,Bula Pesa,0.3294,48.76,31.65,0.041,54.98,Moderate
2024-04-01,Bula Pesa,0.3801,71.4,32.58,0.0355,62.77,Good
2024-05-01,Bula Pesa,0.4809,119.79,30.67,0.0297,80.7,Very good
2024-06-01,Bula Pesa,0.3525,13.3,31.02,0.046,50.07,Moderate
2024-07-01,Bula Pesa,0.2942,16.31,30.69,0.0499,45.88,Moderate
2024-08-01,Bula Pesa,0.2995,21.84,28.51,0.0541,47.99,Moderate
2024-09-01,Bula Pesa,0.2815,35.57,32.22,0.0569,45.44,Moderate
2024-10-01,Bula Pesa,0.3705,68.42,31.87,0.0485,59.28,Moderate
2024-11-01,Bula Pesa,0.3459,58.66,32.18,0.0536,54.55,Moderate
2024-12-01,Bula Pesa,0.4153,83.97,33.18,0.0317,67.7,Good
2025-01-01,Bula Pesa,0.3101,16.12,35.34,0.0541,42.32,Moderate
2025-02-01,Bula Pesa,0.3142,29.91,34.32,0.0395,48.98,Moderate
2025-03-01,Bula Pesa,0.3314,53.93,34.2,0.0607,49.56,Moderate
2025-04-01,Bula Pesa,0.4542,114.89,32.96,0.0375,74.47,Good
2025-05-01,Bula Pesa,0.3951,49.65,30.68,0.0505,58.4,Moderate
2025-06-01,Bula Pesa,0.3545,29.08,31.25,0.0448,52.93,Moderate
2025-07-01,Bula Pesa,0.2951,16.95,30.59,0.0647,42.86,Moderate
2025-08-01,Bula Pesa,0.2707,19.51,33.59,0.0605,40.1,Moderate
2025-09-01,Bula Pesa,0.2804,21.08,32.39,0.0494,44.47,Moderate
2025-10-01,Bula Pesa,0.3065,55.28,32.72,0.0602,49.34,Moderate
2025-11-01,Bula Pesa,0.4984,128.56,31.6,0.0266,83.34,Very good
2025-12-01,Bula Pesa,0.5054,95.13,32.97,0.036,74.7,Good
2026-01-01,Bula Pesa,0.3495,15.29,36.01,0.0497,45.39,Moderate
2026-02-01,Bula Pesa,0.2837,3.27,35.06,0.0622,36.75,Poor
2026-03-01,Bula Pesa,0.3594,72.34,32.71,0.0354,61.4,Good
2026-04-01,Bula Pesa,0.4633,123.35,34.0,0.0292,77.52,Good
2026-05-01,Bula Pesa,0.4377,77.05,30.77,0.0389,68.45,Good
2026-06-01,Bula Pesa,0.3416,22.52,30.64,0.0478,50.76,Moderate
2026-07-01,Bula Pesa,0.2981,20.51,29.0,0.0584,46.33,Moderate
2026-08-01,Bula Pesa,0.2646,13.32,33.32,0.0523,40.69,Moderate
2019-01-01,Burat,0.0561,15.25,33.87,0.0842,18.88,Very poor
2019-02-01,Burat,0.1121,19.76,35.7,0.07,25.26,Poor
2019-03-01,Burat,0.2384,81.38,34.12,0.0524,49.54,Moderate
2019-04-01,Burat,0.3647,122.86,32.07,0.04,69.69,Good
2019-05-01,Burat,0.3036,63.7,31.11,0.0591,52.06,Moderate
2019-06-01,Burat,0.1944,17.33,33.58,0.0622,34.02,Poor
2019-07-01,Burat,0.1806,15.27,31.07,0.0696,33.08,Poor
2019-08-01,Burat,0.1468,19.2,29.37,0.0787,30.71,Poor
2019-09-01,Burat,0.1349,22.37,30.7,0.0744,30.29,Poor
2019-10-01,Burat,0.26,92.61,32.66,0.0567,53.13,Moderate
2019-11-01,Burat,0.3232,95.51,30.67,0.0456,62.1,Good
2019-12-01,Burat,0.324,85.92,33.18,0.0614,55.04,Moderate
2020-01-01,Burat,0.2321,16.3,35.12,0.0626,35.17,Poor
2020-02-01,Burat,0.1719,16.33,34.08,0.07,30.16,Poor
2020-03-01,Burat,0.2507,69.69,35.25,0.0415,49.97,Moderate
2020-04-01,Burat,0.2733,66.45,32.5,0.0624,48.57,Moderate
2020-05-01,Burat,0.3385,104.56,30.78,0.0527,63.02,Good
2020-06-01,Burat,0.2227,20.7,30.53,0.0538,40.88,Moderate
2020-07-01,Burat,0.1934,17.81,28.93,0.0715,35.7,Poor
2020-08-01,Burat,0.1653,21.02,31.98,0.0555,35.37,Poor
2020-09-01,Burat,0.1634,26.91,32.23,0.0607,34.88,Poor
2020-10-01,Burat,0.1394,19.36,34.7,0.084,24.77,Poor
2020-11-01,Burat,0.1417,26.49,33.44,0.0662,31.09,Poor
2020-12-01,Burat,0.1737,35.71,33.14,0.0624,35.95,Poor
2021-01-01,Burat,0.1214,7.04,36.99,0.0672,23.37,Poor
2021-02-01,Burat,0.1265,11.59,35.95,0.0571,27.56,Poor
2021-03-01,Burat,0.1583,34.45,36.52,0.0653,31.32,Poor
2021-04-01,Burat,0.2491,65.71,34.2,0.057,46.58,Moderate
2021-05-01,Burat,0.2176,46.17,35.76,0.0715,36.65,Poor
2021-06-01,Burat,0.1672,12.96,32.69,0.0734,29.62,Poor
2021-07-01,Burat,0.1489,10.71,32.57,0.0633,30.32,Poor
2021-08-01,Burat,0.1237,4.58,31.91,0.081,24.1,Poor
2021-09-01,Burat,0.1036,11.02,34.23,0.0766,22.92,Poor
2021-10-01,Burat,0.1579,35.11,34.18,0.0705,32.12,Poor
2021-11-01,Burat,0.2439,67.15,32.24,0.055,48.46,Moderate
2021-12-01,Burat,0.1902,33.76,35.29,0.0662,34.22,Poor
2022-01-01,Burat,0.1662,17.56,37.63,0.0685,27.45,Poor
2022-02-01,Burat,0.1036,3.08,34.53,0.0699,22.83,Poor
2022-03-01,Burat,0.1306,26.63,34.06,0.0691,29.19,Poor
2022-04-01,Burat,0.249,76.42,34.75,0.0648,46.19,Moderate
2022-05-01,Burat,0.2249,42.68,31.16,0.0574,43.39,Moderate
2022-06-01,Burat,0.1465,12.02,31.16,0.0596,32.31,Poor
2022-07-01,Burat,0.1245,11.01,31.96,0.0788,25.68,Poor
2022-08-01,Burat,0.1382,16.66,30.32,0.0692,31.03,Poor
2022-09-01,Burat,0.1362,18.56,32.52,0.076,27.95,Poor
2022-10-01,Burat,0.1593,33.47,33.54,0.0718,32.16,Poor
2022-11-01,Burat,0.1515,25.23,32.99,0.067,31.74,Poor
2022-12-01,Burat,0.2103,53.12,32.62,0.0607,42.21,Moderate
2023-01-01,Burat,0.1187,2.73,36.11,0.0704,22.46,Poor
2023-02-01,Burat,0.1238,9.43,36.03,0.0727,23.48,Poor
2023-03-01,Burat,0.1504,35.05,34.78,0.0612,33.18,Poor
2023-04-01,Burat,0.3559,136.36,30.63,0.0457,71.21,Good
2023-05-01,Burat,0.3774,92.72,29.68,0.053,64.56,Good
2023-06-01,Burat,0.2368,15.81,30.82,0.057,40.12,Moderate
2023-07-01,Burat,0.2049,25.39,29.75,0.0528,41.26,Moderate
2023-08-01,Burat,0.1623,22.03,31.4,0.0664,33.39,Poor
2023-09-01,Burat,0.1784,38.42,31.1,0.062,38.46,Poor
2023-10-01,Burat,0.3721,200.76,30.79,0.0461,74.4,Good
2023-11-01,Burat,0.4423,166.58,29.76,0.0416,81.14,Very good
2023-12-01,Burat,0.4914,147.92,30.36,0.0329,85.69,Very good
2024-01-01,Burat,0.3046,21.52,36.07,0.0576,41.48,Moderate
2024-02-01,Burat,0.1943,18.54,35.0,0.0668,32.07,Poor
2024-03-01,Burat,0.2426,59.52,34.4,0.0573,44.88,Moderate
2024-04-01,Burat,0.3345,107.77,32.46,0.0471,63.17,Good
2024-05-01,Burat,0.3006,65.26,30.11,0.0494,55.07,Moderate
2024-06-01,Burat,0.2615,36.21,29.28,0.0562,46.65,Moderate
2024-07-01,Burat,0.1804,27.74,29.63,0.066,37.11,Poor
2024-08-01,Burat,0.1904,25.69,32.03,0.0595,36.98,Poor
2024-09-01,Burat,0.1302,8.73,32.35,0.0668,28.07,Poor
2024-10-01,Burat,0.2638,93.8,30.55,0.0477,57.27,Moderate
2024-11-01,Burat,0.4083,144.15,31.51,0.0375,77.29,Good
2024-12-01,Burat,0.4048,109.76,35.42,0.0371,68.27,Good
2025-01-01,Burat,0.2287,13.53,34.9,0.0605,35.13,Poor
2025-02-01,Burat,0.1618,10.06,35.67,0.0639,28.49,Poor
2025-03-01,Burat,0.2092,66.7,32.71,0.0582,44.88,Moderate
2025-04-01,Burat,0.3927,129.96,31.43,0.0395,73.45,Good
2025-05-01,Burat,0.3411,70.58,31.25,0.0489,57.99,Moderate
2025-06-01,Burat,0.2522,29.6,31.23,0.0552,43.57,Moderate
2025-07-01,Burat,0.2,26.55,28.95,0.0648,39.08,Poor
